display_name,claim_type,confidence,operational_health_tag,decentralization_pressure_tag,current_registered_pool_count,current_live_positive_pool_count,healthy_core_pool_count,subscale_active_pool_count,dormant_pool_count,zero_stake_registered_pool_count,near_saturation_pool_count,current_stake_ada,current_pct_supply,median_live_stake_ada,largest_live_stake_ada,median_live_pledge_ada,avg_live_pledge_ada,avg_live_margin_pct,avg_live_fixed_cost_ada,dominant_meta_domains,koios_pool_groups,adastat_groups,balanceanalytics_groups,relay_hints
STSH1,Pool group / reward address clustering,Medium,Active fleet,Moderate,3,3,3,0,0,0,0,47479872.942,0.1233,17213545.171,18010759.528,1000.000,1000.000,10.00,345.000,services.atomicwallet.io,AWP,,,"[{""dns"":""cardano-relays.atomicwallet.io"",""srv"":nul"
LQWD,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,47433775.358,0.1232,23731031.619,23731031.619,20000000.000,20000000.000,100.00,250.000,lqwdpool.s3.amazonaws.com,LIQWID,,,"[{""dns"":""relays.liqwid.finance"",""srv"":null,""ipv4"":"
XRAY1,Pool group / reward address clustering,Medium,Active fleet,Moderate,8,8,3,5,2,0,0,45682444.475,0.1187,2208373.535,19227454.664,1000.000,1000.000,1.00,340.000,xray.app,RAY,,,"[{""dns"":""relays.xray.app"",""srv"":null,""ipv4"":null,"""
SUNNY,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,45310588.155,0.1177,37189625.182,37189625.182,1000.000,1000.000,2.00,340.000,metadata.sunshinestakepool.com,SUNNY,,,"[{""dns"":""relay.sunnyada.com"",""srv"":null,""ipv4"":nul"
IBEX,Pool group / reward address clustering,Medium,Active fleet,Moderate,3,3,3,0,0,0,0,44280794.168,0.1150,12606550.541,25854434.185,4.000,4.333,35.13,340.000,ada.ibexpool.com; ibexpool.com,IBEX,,,"[{""dns"":null,""srv"":null,""ipv4"":""202.61.225.111"",""i; [{""dns"":null,""srv"":null,""ipv4"":""46.38.251.105"",""ip"
HRMS,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,1,1,0,0,0,44270100.034,0.1150,44159519.246,44159519.246,100000.000,55000.000,2.00,340.000,hermes-stakepool.com,HRMS,,,"[{""dns"":""eu-relay.hermes-stakepool.com"",""srv"":null"
KIWI,Pool group / reward address clustering,Medium,Active fleet,Moderate,3,3,2,1,0,0,0,40599989.040,0.1055,5026854.063,33542899.868,200369.000,300702.333,2.00,340.000,tinyurl.com,KIWI,,,"[{""dns"":""truth.kiwipool.org"",""srv"":null,""ipv4"":nul"
DNEWS,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,39652260.451,0.1030,21346016.784,21346016.784,75000.000,57500.000,5.00,340.000,raw.githubusercontent.com,DNEWS,,,"[{""dns"":null,""srv"":null,""ipv4"":""52.167.20.127"",""ip"
ZETE,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,1,1,1,0,0,39249317.957,0.1020,39177019.684,39177019.684,10000.000,5500.000,0.00,255.000,zetetic.tech,ZETIC,,,"[{""dns"":""relay1.zetetic.tech"",""srv"":null,""ipv4"":nu"
nan,Pool group / reward address clustering,Medium,Active fleet,Low,10,10,2,8,8,0,0,37979322.842,0.0987,1753.913,19540449.012,100.000,24154.000,14.40,324.500,agoodaycoffee.com; bit.ly; git.io,KTO,,,"[{""dns"":""ec2-18-117-31-81.us-east-2.compute.amazon; [{""dns"":""pool.sxygrl.dynv6.net"",""srv"":null,""ipv4"":"
ADBV,Pool group / reward address clustering,Medium,Active fleet,Low,2,2,1,1,1,0,0,37837753.935,0.0983,37837252.684,37837252.684,1000000.000,500003.500,6.50,342.500,adastrong.com,adastrong.com,,,"[{""dns"":""178.79.160.36"",""srv"":null,""ipv4"":null,""ip; [{""dns"":null,""srv"":null,""ipv4"":""170.187.203.117"","""
4ADA,Pool group / reward address clustering,Medium,Active fleet,Low,2,2,2,0,0,0,0,37799485.190,0.0982,30290352.901,30290352.901,300000.000,300000.000,1.00,170.000,staking4ada.org,4ADA,,,"[{""dns"":""relays.staking4ada.org"",""srv"":null,""ipv4"""
NKR,Pool group / reward address clustering,Medium,Active fleet,Low,3,3,1,2,1,0,0,36129779.991,0.0939,604220.693,35500424.122,1000.000,13667.000,34.50,340.000,git.io; raw.githubusercontent.com; tinyurl.com,NKR,,,"[{""dns"":""zenapool.ddns.me"",""srv"":null,""ipv4"":null,; [{""dns"":null,""srv"":null,""ipv4"":""139.180.198.13"",""i"
KAIZN,Pool group / reward address clustering,Medium,Active fleet,Low,4,4,2,2,0,0,0,34524487.088,0.0897,6695949.490,24905777.923,5000.000,3875.000,2.50,340.000,meta.pools.pm,KAIZN,,,"[{""dns"":""relay1.kaizn.kaizencrypto.com"",""srv"":null; [{""dns"":""relay1.kobe.kaizencrypto.com"",""srv"":null,"
MUEN,Pool group / reward address clustering,Medium,Active fleet,Low,3,3,3,0,0,0,0,34156255.757,0.0887,8692203.588,19081227.126,10.000,3340.000,67.33,340.000,muen718.github.io,MUEN,,,"[{""dns"":null,""srv"":null,""ipv4"":""202.61.199.89"",""ip; [{""dns"":null,""srv"":null,""ipv4"":""202.61.200.80"",""ip"
COFFE,Pool group / reward address clustering,Medium,Active fleet,Low,2,2,1,1,0,0,0,33688669.313,0.0875,32513770.378,32513770.378,101.000,101.000,2.50,340.000,coffeepool.jp,coffeepool.jp,,,"[{""dns"":null,""srv"":null,""ipv4"":""198.71.57.191"",""ip; [{""dns"":null,""srv"":null,""ipv4"":""82.165.205.118"",""i"
ELITE,Pool group / reward address clustering,Medium,Active fleet,Low,2,2,1,1,0,0,0,31889412.144,0.0828,30790082.001,30790082.001,300000.000,250000.000,0.00,340.000,elitestakepool.com,ELITE,,,"[{""dns"":""a-r1.elitestakepool.com"",""srv"":null,""ipv4"
nan,Pool group / reward address clustering,Medium,Active fleet,Low,2,2,1,1,1,0,0,31762112.339,0.0825,31762109.895,31762109.895,850000.000,425000.000,2.00,340.000,raw.githubusercontent.com; wafflepool-cardano.github.io,wafflepool.org,,,"[{""dns"":""104.131.47.170"",""srv"":null,""ipv4"":null,""i; [{""dns"":null,""srv"":null,""ipv4"":""178.128.220.110"","""
IOG,Same operator cluster,High,Mixed live fleet,Limited,35,9,1,1,7,26,0,13015339.918,0.0338,3.981,11368800.212,64000000.000,36111899.667,59.11,428.889,"`pools.iohk.io` (30), `iog1.cardano.iog.io` (1), `mainnet.assets.midnightpool.network` (1)",`IOG` (32),`iohk.io` (31),`IOG` (32),"`relays-new.cardano-mainnet.iohk.io` (33), `iog1-relays.cardano.iog.io` (1), `backbone.cardano.iog.io` (1)"
RAID,Same operator cluster,High,Mixed live fleet,Limited,7,7,0,2,5,0,0,407358.419,0.0011,36732.187,125251.822,30000.000,32857.143,1.00,340.000,`git.io` (7),`RAID` (7),`raidpools.com` (7),`RAID` (7),`34.107.5.15` (7)
RockX,Same operator cluster,High,Mixed live fleet,Limited,10,10,0,1,9,0,0,194568.238,0.0005,10.277,191003.279,100.000,101.000,2.00,340.000,`static.rockx.com` (10),`ROCKX` (10),`rockx.com` (10),`ROCKX` (10),"`ruby-cardano.rockx.com` (1), `garnet-cardano.rockx.com` (1), `diamond-cardano.rockx.com` (1)"
BigLazyCat,Same operator cluster,High,Thin live fleet,Limited,3,3,3,0,0,0,1,130216387.217,0.3384,49324037.613,68828902.150,1000.000,1000.000,0.67,283.333,"`www.biglazycat.com` (2), `api.biglazycat.com` (1)",`BLC` (2),`biglazycat.com` (2),`BLC` (2),"`ada-relay01.biglazycat.com` (1), `ada-relay02.biglazycat.com` (1), `ada-relay03.biglazycat.com` (1)"
