pool_id,ticker,stake_ada,pledge_ada,nu,pi,A,base,bonus,E,reward_at_pbar1_ada
pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns,LCP,72808070,333333,0.945697,0.004330,0.004094,0.727459,0.000945,0.728404,22629
pool1zgjk3dzwcwd02juqntuzknr368hvxjxy8l8uzkxvgu4252d7ekf,,72797377,100,0.945558,0.000001,0.000001,0.727353,0.000000,0.727353,22597
pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww,OGAM,72409351,500000,0.940518,0.006494,0.006106,0.723476,0.001409,0.724885,22520
pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,TITAN,72055261,250000,0.935919,0.003247,0.003038,0.719938,0.000701,0.720639,22388
pool18vej0s9gska8c847aj95g9v24duuxg2g63d5cuqngnxew643jw9,ADV2,71863816,250000,0.933432,0.003247,0.003030,0.718025,0.000699,0.718724,22329
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,CRDNS,71274442,200000,0.925777,0.002598,0.002404,0.712136,0.000555,0.712691,22141
pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9,N/A,70955463,0,0.921634,0.000000,0.000000,0.708949,0.000000,0.708949,22025
pool15cy4p3axu0m6sfrmxsp46z5cevx3ruksfwjl48730cgx24j4ydz,TECH,70828404,101000,0.919984,0.001312,0.001207,0.707680,0.000278,0.707958,21994
pool1fcp4d2pxh0e7q5ju63sjqcdpxpr3pvxg6ykl23t6c97d7dnvjvw,KILN1,70698848,100,0.918301,0.000001,0.000001,0.706385,0.000000,0.706385,21945
pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg,FIKA,70666781,50000,0.917884,0.000649,0.000596,0.706065,0.000138,0.706202,21940
pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6,KOH,70531680,0,0.916129,0.000000,0.000000,0.704715,0.000000,0.704715,21893
pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,UBE,70334203,0,0.913564,0.000000,0.000000,0.702742,0.000000,0.702742,21832
pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c,WGM,70331238,0,0.913526,0.000000,0.000000,0.702712,0.000000,0.702712,21831
pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h,TBG,70195311,0,0.911760,0.000000,0.000000,0.701354,0.000000,0.701354,21789
pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,ARH,70192320,0,0.911721,0.000000,0.000000,0.701324,0.000000,0.701324,21788
pool18gk8kvd9qf829nldqus92q9y640e6u0jdyfz04mmktwxvglgt06,SBP1,70097034,0,0.910484,0.000000,0.000000,0.700372,0.000000,0.700372,21758
pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf,FVG,70074420,0,0.910190,0.000000,0.000000,0.700146,0.000000,0.700146,21751
pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,UTA,70050946,0,0.909885,0.000000,0.000000,0.699912,0.000000,0.699912,21744
pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r,LAG,70049541,0,0.909867,0.000000,0.000000,0.699898,0.000000,0.699898,21744
pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq,N/A,70039160,0,0.909732,0.000000,0.000000,0.699794,0.000000,0.699794,21740
pool1lev7ygxcqd4aw5em7wf7y64au4hv04yl5cew27lkjmgngj46vqk,TLK,70036750,0,0.909701,0.000000,0.000000,0.699770,0.000000,0.699770,21740
pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl,RMH,70028324,0,0.909591,0.000000,0.000000,0.699686,0.000000,0.699686,21737
pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,TZD,70023836,0,0.909533,0.000000,0.000000,0.699641,0.000000,0.699641,21736
pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,FBA,70022538,0,0.909516,0.000000,0.000000,0.699628,0.000000,0.699628,21735
pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,FMD,70021946,0,0.909508,0.000000,0.000000,0.699622,0.000000,0.699622,21735
pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk,N/A,70021796,0,0.909507,0.000000,0.000000,0.699620,0.000000,0.699620,21735
pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97,N/A,70021140,0,0.909498,0.000000,0.000000,0.699614,0.000000,0.699614,21735
pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g,,70020446,0,0.909489,0.000000,0.000000,0.699607,0.000000,0.699607,21735
pool143d6z506u6yfufgzrtx8ywcwx3j4s29lxv5tdugcpcwk2l83gck,,70018730,0,0.909467,0.000000,0.000000,0.699590,0.000000,0.699590,21734
pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,,70016829,0,0.909442,0.000000,0.000000,0.699571,0.000000,0.699571,21734
pool1fpvs8h5q5kwpz4k2yd0vw90dgdxacr3ef508tzzewm0kysdt4eq,SBP2,70000011,0,0.909224,0.000000,0.000000,0.699403,0.000000,0.699403,21728
pool1kl2vuauwfc5k0avf874ym5tcm04ywa22frleszhujeccj4va3lt,N/A,69672001,0,0.904963,0.000000,0.000000,0.696125,0.000000,0.696125,21626
pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,dtDn,68846722,250000,0.894244,0.003247,0.002903,0.687880,0.000670,0.688550,21391
pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,KILN6,68738524,100,0.892838,0.000001,0.000001,0.686799,0.000000,0.686799,21337
pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,68405532,50000,0.888513,0.000649,0.000577,0.683472,0.000133,0.683605,21238
pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx,CAFE,68208842,100000,0.885958,0.001299,0.001151,0.681506,0.000266,0.681772,21181
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,67865232,1300000,0.881495,0.016886,0.014851,0.678073,0.003427,0.681500,21172
pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq,SECUR,68140383,100000,0.885069,0.001299,0.001149,0.680822,0.000265,0.681088,21159
pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5,AICHI,67853174,100000,0.881339,0.001299,0.001145,0.677953,0.000264,0.678217,21070
