epoch_no,source,size_bucket,total_active_stake_ada,active_pool_count,0pct_stake_ada,0pct_pool_count,gt_0_0001pct_stake_ada,gt_0_0001pct_pool_count,0001pct_001pct_stake_ada,0001pct_001pct_pool_count,001pct_01pct_stake_ada,001pct_01pct_pool_count,01pct_1pct_stake_ada,01pct_1pct_pool_count,1pct_10pct_stake_ada,1pct_10pct_pool_count,10pct_50pct_stake_ada,10pct_50pct_pool_count,gt_50pct_stake_ada,gt_50pct_pool_count
212,local_history,10M-30M ADA,1306692995.572724,75,11236380.919532,1,10964034.333795,1,50809309.487784,3,93396583.03797,5,358417462.81018895,21,666405405.329997,37,100551263.894517,6,14912555.75894,1
212,local_history,30M-70M ADA,2032543859.0400987,40,67075019.461885,1,35007218.421984,1,31214371.376783,1,644469630.2614341,11,997737189.479221,20,257040430.03879198,6,0.0,0,0.0,0
212,local_history,3M-10M ADA,644098259.839108,119,16330650.716183001,3,14018155.451069,2,23531347.997431003,3,23683169.572997004,6,76349296.68709299,14,335645456.509981,60,133436313.73014198,25,21103869.174212,6
212,local_history,<3M ADA,425380410.5619363,673,6226202.463746,18,3072164.053393,6,4187572.972797,6,17349139.635474004,31,58895831.855024986,84,144466442.8113101,150,151292819.7945869,209,39890236.975605,169
212,local_history,>70M ADA,7697887339.857968,69,542003582.41244,5,490471964.372848,3,462325934.73667395,4,1746837240.4909842,17,1906561458.4758277,18,2549687159.369195,22,0.0,0,0.0,0
213,local_history,10M-30M ADA,1163363232.479893,68,11245635.785395,1,47066330.214368,2,67095845.547501,4,56512305.022957,3,388925183.69235003,21,517980646.17376786,32,74537286.04355401,5,0.0,0
213,local_history,30M-70M ADA,2200030473.4607506,44,67411887.271302,1,31086953.997662,1,0.0,0,555142063.381153,10,1189373695.4364188,24,325733360.166245,7,31282513.20797,1,0.0,0
213,local_history,3M-10M ADA,653521798.1963582,117,16296267.184268001,3,6489410.734157,1,25388457.009158,4,31079870.840932,6,79116456.09787902,13,312653360.80043906,57,158437200.32330802,28,24060775.206217002,5
213,local_history,<3M ADA,461791344.4649616,717,4787493.369579,17,3771075.438354,5,1826434.578367,5,22422377.788611997,31,69107932.19200103,85,151168147.311408,185,164951078.72817704,225,43756805.05846399,164
213,local_history,>70M ADA,8280122261.1823845,71,541974188.94044,5,489979811.549322,3,136018667.763273,1,1764605805.329742,16,2840332282.9168987,25,2507211504.68271,21,0.0,0,0.0,0
214,local_history,10M-30M ADA,1209230544.1791017,72,11391136.689206,1,79264321.841732,4,64749903.87198301,4,72932611.364252,4,301023921.270873,16,599396602.1123549,37,66251256.653028004,5,14220790.375673,1
214,local_history,30M-70M ADA,2259578784.278566,46,86416378.012526,2,0.0,0,0.0,0,545063035.309988,10,1137003880.9205039,24,458464062.771248,9,32631427.2643,1,0.0,0
214,local_history,3M-10M ADA,573814454.4604491,106,16599031.747582998,3,6489485.606425,1,14512942.76286,2,16111490.480653001,4,54978713.622942,10,290863777.91448295,53,144285620.382146,27,29973391.943357002,6
214,local_history,<3M ADA,452809409.4699833,758,6933950.575425,21,3082728.58973,5,3420722.757175,4,17240179.599871997,28,58374396.74177399,83,152229057.588763,190,162244452.13967994,225,49283921.477564044,202
214,local_history,>70M ADA,8887284963.709087,75,556150308.674394,5,662099205.490253,4,166217832.569992,1,1928850269.750664,17,3012053743.273972,27,2561913603.9498143,21,0.0,0,0.0,0
215,local_history,10M-30M ADA,1191510683.2525117,69,0.0,0,79051234.53111699,4,27102916.031925,2,75793898.204265,4,298162919.256915,15,618311153.9220202,37,93088561.30627,7,0.0,0
215,local_history,30M-70M ADA,2323534428.5465693,46,86446013.59628901,2,0.0,0,37774769.899134,1,625149770.299399,11,1064647150.920964,22,474057065.201316,9,35459658.629468,1,0.0,0
215,local_history,3M-10M ADA,475152875.49012804,84,3425754.450696,1,6380344.949425,1,12573617.165826,2,17548164.06708,3,63093554.245795,9,218103866.075544,39,129551422.06199503,24,24476152.473766997,5
215,local_history,<3M ADA,440404792.1926608,820,9957167.286465999,25,1646391.19703,2,3442537.3041120004,6,15425932.615571,24,48443826.02538001,75,145321035.47732097,193,151065333.856156,249,65102568.43062501,246
215,local_history,>70M ADA,9433539135.36422,76,561266016.262812,5,649770976.082294,4,185398091.800607,1,1839312305.4033728,15,3606140735.9886713,30,2591651009.8264604,21,0.0,0,0.0,0
