epoch_no,start_date_utc,reserve_ada,rho_rate,eta_capped,tau_rate,d_decentralisation,transition_gate,monetary_expansion_nominal_ada,monetary_expansion_eta_adjusted_ada,monetary_expansion_pool_side_ada,is_current_partial_epoch
234,2020-12-06,12835708801.543867,0.003000,0.974352,0.200000,0.320000,1,38507126.404632,37519489.921846,30015591.937477,False
235,2020-12-11,12813555587.125200,0.003000,0.981620,0.200000,0.320000,1,38440666.761376,37734141.543586,30187313.234868,False
236,2020-12-16,13112607631.777588,0.003000,0.968287,0.200000,0.320000,1,39337822.895333,38090303.974809,30472243.179848,False
237,2020-12-21,13092064399.031576,0.003000,0.992593,0.200000,0.320000,1,39276193.197095,38985258.432672,31188206.746137,False
238,2020-12-26,13070468429.326736,0.003000,0.983565,0.200000,0.320000,1,39211405.287980,38566958.580701,30853566.864561,False
239,2020-12-31,13047906930.168383,0.003000,0.984167,0.200000,0.320000,1,39143720.790505,38523945.211322,30819156.169058,False
240,2021-01-05,13025619519.514576,0.003000,0.992037,0.200000,0.320000,1,39076858.558544,38765690.981133,31012552.784906,False
241,2021-01-10,13001889545.532991,0.003000,0.990694,0.200000,0.320000,1,39005668.636599,38642699.220120,30914159.376096,False
242,2021-01-15,12977832637.176786,0.003000,0.991574,0.200000,0.300000,1,38933497.911530,38605447.142091,30884357.713672,False
243,2021-01-20,12953750797.382736,0.003000,0.999352,0.200000,0.280000,1,38861252.392148,38836064.543376,31068851.634700,False
244,2021-01-25,12929566121.367275,0.003000,0.994954,0.200000,0.260000,1,38788698.364102,38592959.099209,30874367.279367,False
245,2021-01-30,12905245994.461084,0.003000,0.994676,0.200000,0.240000,1,38715737.983383,38509612.526527,30807690.021222,False
246,2021-02-04,12880948865.137768,0.003000,0.987361,0.200000,0.220000,1,38642846.595413,38154443.950943,30523555.160755,False
247,2021-02-09,12856514256.368052,0.003000,0.995741,0.200000,0.200000,1,38569542.769104,38405265.086939,30724212.069552,False
