epoch_no,source,total_active_stake_ada,active_pool_count,lt_3m_ada_stake_ada,lt_3m_ada_pool_count,3m_10m_ada_stake_ada,3m_10m_ada_pool_count,10m_20m_ada_stake_ada,10m_20m_ada_pool_count,20m_30m_ada_stake_ada,20m_30m_ada_pool_count,30m_40m_ada_stake_ada,30m_40m_ada_pool_count,40m_50m_ada_stake_ada,40m_50m_ada_pool_count,50m_60m_ada_stake_ada,50m_60m_ada_pool_count,60m_70m_ada_stake_ada,60m_70m_ada_pool_count,gt_70m_ada_stake_ada,gt_70m_ada_pool_count
220,local_history,15859988643.309525,1134,390242826.3578589,844,504638784.473647,89,556084268.830618,38,528770162.7872049,22,641160933.8775609,18,598376456.0093709,13,674459703.992246,12,836668658.6619109,13,11129586848.319107,85
221,local_history,16064098678.859695,1140,394042609.67726177,846,511735722.80409515,91,536311399.946665,38,642366205.343772,26,531685588.6210561,15,407191953.831506,9,810323014.303301,15,709157412.945262,11,11521284771.386747,89
222,local_history,16371244779.82402,1146,386995063.74056584,854,486920686.526803,87,530315493.36552215,38,580904620.3768901,24,597521986.2275151,17,397418926.0520399,9,889900193.5869079,16,643386732.252818,10,11857881077.694956,91
223,local_history,16743231852.83029,1154,369321631.17605424,848,497938686.3072609,88,575441742.418998,40,631852971.2164611,26,588613068.400369,17,439287060.74851,10,776531241.8816231,14,1548829418.206706,24,11315416032.474295,87
224,local_history,16980957495.734692,1158,377497724.4398565,856,478959353.4749551,84,528323017.161443,37,647326056.54266,27,658899100.794705,19,497441149.035536,11,788769124.991549,14,1299296071.10482,20,11704445898.189156,90
225,local_history,17096070009.862858,1157,388012492.075837,854,476740707.08294225,84,544607785.2141069,38,695249633.863943,28,681430663.08195,19,460348783.28710896,10,898758632.4626501,16,1180399753.2411048,18,11770521559.55319,90
226,local_history,17208683641.999035,1156,384101456.46773887,853,489371110.56053686,86,584431452.7830011,39,578499691.5984179,23,712473747.7557449,20,355500624.16073495,8,1055603868.8771052,19,1316943672.0472422,20,11731758017.748495,88
227,local_history,17260167504.45439,1158,384791061.19609326,854,456864430.13500893,81,586364479.481369,40,605075853.0486668,25,662773972.842317,19,498763978.6348129,11,938663499.8081481,17,1518396696.0123298,23,11608473533.295637,88
228,local_history,17348591975.63094,1161,383892039.39533794,862,405042820.813648,74,672421626.7129408,46,489969312.63844305,20,745660656.356795,21,453150371.879544,10,947960807.1900411,17,1459544256.237189,22,11790950084.406998,89
229,local_history,19510155416.09179,1195,387090695.39168316,875,466278197.80148,84,580832874.1177069,39,528357167.5812371,22,602423100.699776,17,489578160.35379803,11,828929719.137839,15,1631011725.67778,25,13995653775.330534,107
230,local_history,19636382936.67074,1236,383041471.3052826,902,493849313.9628011,89,627926211.328075,42,606994950.6053379,25,581886693.3200771,16,498268639.72658694,11,872741383.7817512,16,1956101212.7501144,30,13615573059.890722,105
231,local_history,19907907769.885452,1259,394221224.6725987,904,495749967.06095487,91,676715922.2851499,45,746815422.4252579,30,562593206.379352,16,524217593.293398,12,1439383715.8135028,26,1996276788.210432,31,13071933929.744822,104
232,local_history,19977393570.330807,1262,382715010.4538065,884,558748523.0827959,100,582498468.360921,40,835433500.9763709,34,730720599.7628012,21,851364042.460899,19,1496266427.989493,27,2493355733.9746466,39,12046291263.269053,98
233,local_history,19917513128.733887,1276,380582695.839109,878,575050748.6862842,104,620227069.603981,43,858674450.8051558,34,690650265.5785892,20,810973774.8465829,18,2354892256.7530727,43,2781733387.287346,44,10844728479.333721,92
234,local_history,20094293921.5112,1309,362964650.56090283,860,550994126.026706,97,1140602815.0095644,73,849815588.751193,36,1166559435.3745,33,940841386.660576,21,3708410503.1258845,67,3718394213.5731416,59,7655711202.428747,63
235,local_history,20218109006.931637,1336,370043772.6304179,872,548910980.664389,97,1135573553.044818,74,916462439.1093379,37,1023771275.1898352,29,1115130415.037163,25,5520472968.689496,99,3352003301.42117,54,6235740301.145017,49
236,local_history,20387817635.4246,1379,372826693.49443144,861,579579670.650236,109,1268036469.1456544,83,931823137.006935,39,1351937473.420437,39,1230471414.7003143,28,5917051333.001734,107,5588546338.898144,89,3147545105.1067677,24
