epoch_no,source,total_active_stake_ada,active_pool_count,0_ada_stake_ada,0_ada_pool_count,gt_0_1k_ada_stake_ada,gt_0_1k_ada_pool_count,1k_10k_ada_stake_ada,1k_10k_ada_pool_count,10k_100k_ada_stake_ada,10k_100k_ada_pool_count,100k_1m_ada_stake_ada,100k_1m_ada_pool_count,1m_10m_ada_stake_ada,1m_10m_ada_pool_count,10m_70m_ada_stake_ada,10m_70m_ada_pool_count,gt_70m_ada_stake_ada,gt_70m_ada_pool_count
227,local_history,17260167504.45439,1158,1165091101.317477,31,79850822.40165497,162,914225510.1246332,150,3241742243.858048,329,6790541903.737324,387,5037803147.44266,98,30912775.572597,1,0.0,0
228,local_history,17348591975.63094,1161,1162554386.9542787,31,75578717.39218502,162,915625017.0736232,157,3197717353.275922,323,6826740273.309853,387,5132201708.621595,99,38174506.373121,1,12.630366,1
229,local_history,19510155416.09179,1195,2215099391.3249187,39,1127804264.0931172,171,875528795.4482429,165,3164923236.621092,327,7035259087.951102,390,5049006298.061623,101,42534330.528982,1,12.062759,1
230,local_history,19636382936.67074,1236,2219121532.611378,47,1157491171.9322119,187,268851592.27804196,166,3794449237.1070824,337,6918115356.519686,391,5213142715.226145,107,65211330.996203,1,0.0,0
231,local_history,19907907769.885452,1259,2219988550.6930733,44,1196497167.5825462,185,323929512.33507323,176,4987737688.301751,354,6125156977.010713,389,4909412460.870404,109,145185413.091898,2,0.0,0
232,local_history,19977393570.330807,1262,2227203112.3408756,42,1269374858.1296859,186,349860107.776151,159,5076090694.408592,367,6182855932.56046,391,4708745091.530285,115,163263773.58473098,2,0.0,0
233,local_history,19917513128.733887,1276,2221816192.053081,43,1210547971.5818272,176,318513763.59228915,151,5231658542.499194,388,6042562789.12844,400,4703079756.449567,116,189334113.429441,2,0.0,0
234,local_history,20094293921.5112,1309,2223955449.3277555,42,1322964252.9416022,176,252609273.395088,167,5277916449.31242,394,6173910336.961551,410,4718752537.429778,117,124185622.14301601,3,0.0,0
235,local_history,20218109006.931637,1336,1930324752.2627273,44,1252738879.1084135,176,275031419.9610602,160,5660176072.0367,413,6370879845.275167,425,4612494838.644835,115,116463199.642744,3,0.0,0
236,local_history,20387817635.4246,1379,1938738529.3066792,45,1263053599.4553528,175,622863078.2330303,158,5393674996.721631,419,6369315872.413773,429,2772663221.899901,118,2027508337.3942857,35,0.0,0
237,local_history,20478038471.514507,1403,1596390104.1404135,37,1261334315.8939111,198,638954742.0758264,158,5807752807.324861,424,6371208227.825255,433,2661603899.6342177,118,2140794374.6200233,35,0.0,0
238,local_history,20598560072.62083,1410,1618188700.6787155,37,1302929117.568223,200,713045501.4644582,161,5847300333.817125,428,6377354222.039474,432,2534764075.341349,117,2204978121.7115073,35,0.0,0
239,local_history,21356205100.359573,1410,1536042038.5317652,48,2067751666.85796,205,720554731.1673398,157,5904099112.304976,425,6456254760.37785,439,2471500556.0000987,101,2200002235.119603,35,0.0,0
240,local_history,21440591255.207733,1424,1569474147.7598903,49,2057142756.9150004,205,744812261.122152,160,5868160195.399886,431,6545879150.01556,445,2462300371.939805,99,2192822372.0554643,35,0.0,0
