epoch_no,update_cnt,registration_update_cnt,deregistration_update_cnt,distinct_updated_pool_cnt,median_margin_pct,median_fixed_cost_ada,pct_fixed_cost_340
412,32,32,0,30,1.9,340.0,86.3724853990915
413,21,21,0,21,1.9,340.0,86.35920753491393
414,21,21,0,20,1.9,340.0,86.31339401820546
415,76,76,0,68,1.9900000000000002,340.0,85.47971667739859
416,29,29,0,29,1.9900000000000002,340.0,85.49790525298098
417,33,33,0,26,1.9900000000000002,340.0,85.50257731958763
418,64,64,0,62,1.9900000000000002,340.0,85.35402521823472
419,42,42,0,40,1.9900000000000002,340.0,85.30836293186955
420,35,35,0,30,1.9900000000000002,340.0,85.34928848641657
421,22,22,0,19,1.9900000000000002,340.0,85.34454868974441
422,38,38,0,37,1.9900000000000002,340.0,85.33591731266151
423,57,57,0,50,1.9900000000000002,340.0,85.58034270934368
424,50,50,0,42,1.9900000000000002,340.0,85.62197092084006
425,51,51,0,29,1.9900000000000002,340.0,85.62197092084006
426,58,58,0,39,1.9900000000000002,340.0,85.58966074313409
427,52,52,0,47,1.9900000000000002,340.0,85.6082607292675
428,48,48,0,43,1.9900000000000002,340.0,85.67733591981894
429,66,66,0,54,1.9900000000000002,340.0,85.75572027070577
430,55,55,0,47,1.9994999999999998,340.0,85.72809278350515
431,54,54,0,46,1.9900000000000002,340.0,85.70048309178743
432,41,41,0,36,2.0,340.0,85.65903963905897
433,35,35,0,31,2.0,340.0,85.63125605424604
434,37,37,0,32,2.0,340.0,85.7050661503711
435,15,15,0,13,2.0,340.0,85.6727976766699
436,32,32,0,32,1.9900000000000002,340.0,85.55699481865285
437,20,20,0,20,1.9900000000000002,340.0,85.55663745537163
438,48,48,0,41,1.9900000000000002,340.0,85.64935064935065
439,24,24,0,20,1.9900000000000002,340.0,85.64468983436181
440,33,33,0,28,1.9900000000000002,340.0,85.69570871261378
441,26,26,0,21,1.9900000000000002,340.0,85.68640208197787
442,12,12,0,11,1.9900000000000002,340.0,85.68174422388546
443,26,26,0,23,1.9900000000000002,340.0,85.66308243727599
444,40,40,0,36,1.9,340.0,85.52631578947368
445,33,33,0,26,1.9,340.0,85.52631578947368
446,35,35,0,31,1.9,340.0,85.58292282430213
447,34,34,0,26,1.9,340.0,85.54058494906343
448,255,255,0,227,1.9900000000000002,340.0,78.58784893267652
449,50,50,0,42,1.9900000000000002,340.0,77.75952693823915
450,59,59,0,55,2.0,340.0,76.99638514623727
451,51,51,0,39,1.9900000000000002,340.0,76.34090161237249
452,31,31,0,31,2.0,340.0,76.10415293342122
453,21,21,0,18,2.0,340.0,76.01451666116793
454,31,31,0,23,2.0,340.0,75.71758495546025
455,47,47,0,42,2.0,340.0,75.37140970617365
456,37,37,0,32,2.0,340.0,75.17355371900827
457,48,48,0,42,2.0,340.0,75.0
458,21,21,0,19,2.0,340.0,74.85978225008249
459,30,30,0,25,2.0,340.0,74.74413998019148
460,24,24,0,21,2.0,340.0,74.64462809917354
461,31,31,0,29,2.0,340.0,74.43012884043607
462,48,48,0,41,2.0,340.0,74.26494879418566
463,48,48,0,38,2.0,340.0,74.04353562005277
464,28,28,0,24,2.0,340.0,73.99472643375083
465,32,32,0,25,2.0,340.0,73.88010540184453
466,28,28,0,26,2.0,340.0,73.69114257490945
467,41,41,0,38,2.0,340.0,73.60790774299836
468,25,25,0,23,2.0,340.0,73.43234323432343
469,32,32,0,29,2.0,340.0,73.32452954770551
470,25,25,0,22,2.0,340.0,73.2892561983471
471,36,36,0,34,2.0,340.0,73.20542507442937
472,27,27,0,25,2.0,340.0,73.0043060616098
473,51,51,0,47,2.0,340.0,72.72426348891095
474,20,20,0,20,2.0,340.0,72.62809917355372
475,30,30,0,24,2.0,340.0,72.51655629139073
476,39,39,0,35,2.0,340.0,72.43547319655858
477,31,31,0,27,2.0,340.0,72.21115537848605
478,43,43,0,35,2.0,340.0,72.06908003985387
