pool_id_bech32,pool_id_hex,active_epoch_no,margin,fixed_cost,pledge,deposit,reward_addr,owners,relays,ticker,pool_group,meta_url,meta_hash,pool_status,active_stake,retiring_epoch
pool1ak3vhtv7alve9wfj5kx5xswrtfvy5a23txuupgy6nqpduq350w5,eda2cbad9eefd992b932a58d4341c35a584a755159b9c0a09a9802de,593,0,170000000,10000000,,stake1ux7ke8uyg4jyppnfmhweqwj2j5ewntanme0ywyspftmtp8s6em5zn,"[""stake1ux7ke8uyg4jyppnfmhweqwj2j5ewntanme0ywyspftmtp8s6em5zn""]","[{""dns"":""relaynodes.heapallcrypto.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3001}]",HEAP,,https://heapallcrypto.github.io/md.json,\xb5697a19b27a97c29697d0e1187c4741a85211acb69ea9864abe7fbc02061e5f,registered,1102568441,
pool12rt30v5khmh2y9nap3ffe6envd89lq9qf8f4usr0enwwzzwktsu,50d717b296beeea2167d0c529ceb33634e5f80a049d35e406fccdce1,529,0,340000000,0,,stake1uxj94dj0tknndl67m8fr0d8nrh6c584yu6thc24ah8rlfmq53u3j8,"[""stake1uxwlxkfgxh2alfdywg7hw30cze4ujdpgr5rv482elqr7zucy96l80""]","[{""dns"":""relay.brazilpool.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":8049}]",BRAZL,,https://meta.pools.pm/brazl-m1670202369.json,\x76af467f316abd56fe8aaf35666c44ae635add6c40f7de14fddf1c3d13b6ca69,registered,23808576,
pool1syt2h0690xyjhkr5mntv868xgl82m407e83e4sznaucpkr0lg85,8116abbf4579892bd874dcd6c3e8e647ceadd5fec9e39ac053ef301b,302,0.02,345000000,1100000000,500000000,stake1u957war0lj8qjx4jd4haa36hym8gq7vdy72u2lw2x2y4essx7ymx6,"[""stake1u957war0lj8qjx4jd4haa36hym8gq7vdy72u2lw2x2y4essx7ymx6""]","[{""dns"":""relay1.smartcontractsez.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000},{""dns"":""relay2.smartcontractsez.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6001}]",,,https://pool.smartcontractsez.com/poolMetaData.json,\xaa4e8bfbcfdb1eef4598706dabedcebb47b5e41c89287c888f80a653aa29ac9a,registered,425911053,
pool15eera5yr3eur7tz067wfpp98yxv0y4n2zzfq4cr4wc2920zsmg9,a6723ed0838e783f2c4fd79c9084a72198f2566a10920ae075761455,302,0.01,340000000,500000000,500000000,stake1u9cxa0fvamxprkkwf5mdw8yn0p5l0k5fn7vyaqs9k8tjf0s0pwj0q,"[""stake1u9cxa0fvamxprkkwf5mdw8yn0p5l0k5fn7vyaqs9k8tjf0s0pwj0q""]","[{""dns"":null,""srv"":null,""ipv4"":""54.71.127.167"",""ipv6"":null,""port"":6000}]",WIY,,https://karthik-ir.github.io/wariyer_stake/,\xabbbf390af12f93417fce15104aa28aa1eda2d179c706ae941bd808aafa1c655,retired,,309
pool1fkg3cr9en57ccsmnde20eevkaeu3elp0h4yyqk3udkkxzhl70ju,4d911c0cb99d3d8c43736e54fce596ee791cfc2fbd48405a3c6dac61,466,0.03,340000000,1000000000,,stake1u9kp99k7e9aqpajvff4nzq8sz2tv84rr9hmemqv6zn0udkst0607a,"[""stake1u9kp99k7e9aqpajvff4nzq8sz2tv84rr9hmemqv6zn0udkst0607a""]","[{""dns"":null,""srv"":null,""ipv4"":""194.163.170.63"",""ipv6"":null,""port"":6000}]",ADMON,,https://git.io/JPSz7,\xad509f82c0a009c80397de18af12d3f10c1cb374bc8f08e25e11bd13cab50955,registered,2331747639843,
pool13qe6ycacqjg3gpvjewg8734d6hs6rhduuenjtnnkwh327hmtyz5,8833a263b80491140592cb907f46add5e1a1ddbce66725ce7675e2af,325,0,340000000,50000000000,,stake1u8m9l4uqaduqlv8lyh40hgxjwaky5wfmgs4uh3777grqhjcu0vt59,"[""stake1uyfm6gnvztss84vhq30u3zwhvv7fftyucjujuyqrduk6hqqalswcq"",""stake1u8m9l4uqaduqlv8lyh40hgxjwaky5wfmgs4uh3777grqhjcu0vt59""]","[{""dns"":""relay1.ada.tdot.finance"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000},{""dns"":""relay2.ada.tdot.finance"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000},{""dns"":""relay3.ada.tdot.finance"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000},{""dns"":""relay4.ada.tdot.finance"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000},{""dns"":""relay5.ada.tdot.finance"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000},{""dns"":""relay6.ada.tdot.finance"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000}]",TDOT,,https://ada.tdot.finance/poolMetaData.json,\x858d85c8781018108fd864add6492490e2bcda8b0670c4d4a7ca10f80db8d63f,registered,426051073055,
pool1ec62uwr6tk5xerz94w6zf66zjd4thag09yqrnvn6cnfpu6065va,ce34ae387a5da86c8c45abb424eb42936abbf50f290039b27ac4d21e,311,0.02,340000000,500000000,,stake1uxsd5hnduttqmqxjl242uae69yqe6686twynemljymvr78gjvkwal,"[""stake1uxsd5hnduttqmqxjl242uae69yqe6686twynemljymvr78gjvkwal""]","[{""dns"":null,""srv"":null,""ipv4"":""54.151.9.81"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""13.246.8.226"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""35.77.78.93"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""18.157.187.182"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""18.228.166.51"",""ipv6"":null,""port"":6000}]",,,https://lambo.s3.amazonaws.com/metadata.json,\x301971544136cfbc021edf41eab35ab765365b46a9eade8d0df9fcde394a1555,retired,,382
pool1wwqaw3edn664ydywtndlf06x7zjnjc7g45lt3fqae8lnqsvajdj,7381d7472d9eb552348e5cdbf4bf46f0a53963c8ad3eb8a41dc9ff30,322,0.02,340000000,500000000,,stake1u90dx7a73lvs08uh4v749kc4h22axhlqvlh8j4lu7zh4sac59l7p0,"[""stake1u90dx7a73lvs08uh4v749kc4h22axhlqvlh8j4lu7zh4sac59l7p0""]","[{""dns"":null,""srv"":null,""ipv4"":""80.240.30.229"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""66.42.102.40"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""216.238.98.251"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""149.28.188.25"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""45.76.216.249"",""ipv6"":null,""port"":6000}]",,,https://tinyurl.com/36k72xhe,\x7ae28af237ee9355314eb3f0030096195bc60f9f73a4760499e92c4fe6bddff9,retired,,380
pool176rlgcj6uw4a9062fxa4up8kd9mnekxtsz2568f2xt4ejvz68cd,f687f4625ae3abd2bf4a49bb5e04f669773cd8cb80954d1d2a32eb99,322,0.02,340000000,500000000,,stake1uy57jxutwtqnkhg3nrchx0l9myd572s5cg9ctt5458nvj6g6dkzup,"[""stake1uy57jxutwtqnkhg3nrchx0l9myd572s5cg9ctt5458nvj6g6dkzup""]","[{""dns"":null,""srv"":null,""ipv4"":""80.240.30.229"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""66.42.102.40"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""216.238.98.251"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""149.28.188.25"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""45.76.216.249"",""ipv6"":null,""port"":6000}]",,,https://tinyurl.com/ys2zdkhp,\x3dbb0b989b54344d5d16e2a6e0a25864fce0e0d7247214095373a58d2cb28729,retired,,382
pool1rcad400cdqvuqh8s9x4rxkk7v72x04pn3kucw4y4uw36xlfcy4f,1e3adabdf86819c05cf029aa335ade679467d4338db9875495e3a3a3,321,0.02,340000000,500000000,,stake1ux6xcjckmywmlc0fcdny2q3u4lcsxutawy9pm0fypje2qpqkgwrjr,"[""stake1ux6xcjckmywmlc0fcdny2q3u4lcsxutawy9pm0fypje2qpqkgwrjr""]","[{""dns"":null,""srv"":null,""ipv4"":""80.240.30.229"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""66.42.102.40"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""216.238.98.251"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""149.28.188.25"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""45.76.216.249"",""ipv6"":null,""port"":6000}]",,,https://tinyurl.com/2p8zuk6v,\xee0fbf8636f37070378ec5c49abfaa3737b7480f385c10b5cad152ebb90a7a1d,retired,,380
