epoch_no,pool_cnt,total_pool_rewards_ada,total_active_stake_ada,pools_with_observed_pledge,pledge_met_pool_cnt,pledge_unmet_pool_cnt,reward_from_unmet_ada,active_stake_from_unmet_ada,blocks_from_unmet,pledge_met_share_pct,pledge_unmet_share_pct,reward_share_from_unmet_pct,active_stake_share_from_unmet_pct,median_margin_rate,median_margin_pct,median_fixed_cost_ada,pct_fixed_cost_340,median_pledge_coverage_ratio,update_cnt,registration_update_cnt,deregistration_update_cnt,distinct_updated_pool_cnt
220,1150,11576997.212425003,15859988643.309525,1103,1019,84,76726.76487099999,98894525.833271,50,92.38440616500453,7.615593834995467,0.6627518644355641,0.6235472676393705,0.02,2.0,340.0,90.17391304347827,1.019194691655,169,169,0,106
221,1156,11643679.821616996,16064098678.859695,1112,1030,82,87395.96019099999,93668454.19028102,59,92.62589928057554,7.374100719424461,0.7505871127506066,0.5830918750116271,0.02,2.0,340.0,90.05190311418684,1.0211531145000001,168,168,0,106
222,1163,11960911.551834008,16371244779.82402,1118,1034,84,57245.631916,79541884.55146301,40,92.4865831842576,7.5134168157423975,0.47860592955578146,0.4858633880393182,0.02,2.0,340.0,89.76784178847808,1.0212368611725,125,125,0,89
223,1171,12101695.399847995,16743231852.83029,1128,1048,80,44511.14950599999,75370621.28634502,32,92.90780141843972,7.092198581560284,0.3678092038786489,0.450155752179973,0.02,2.0,340.0,89.92314261315116,1.0214585505666667,146,146,0,94
224,1180,12329778.933141004,16980957495.734692,1136,1047,89,71218.40069,90747954.234081,55,92.16549295774648,7.834507042253522,0.57761295702207,0.5344101135455714,0.02,2.0,340.0,90.0,1.0232128484365,172,172,0,116
225,1182,12368402.094839998,17096070009.862858,1139,1053,86,50358.207816,74327916.39345996,40,92.44951712028094,7.550482879719052,0.4071520915139803,0.4347660974164214,0.02,2.0,340.0,89.76311336717428,1.02372728453,176,176,0,113
226,1181,12332064.104628993,17208683641.999035,1136,1040,96,170280.85069100003,499655241.8523618,278,91.54929577464789,8.450704225352112,1.380797644630172,2.903506463637446,0.02,2.0,340.0,89.75444538526672,1.0245065813966667,123,123,0,83
227,1185,12367643.644706018,17260167504.45439,1140,1046,94,33436.78897,109447368.351195,53,91.75438596491227,8.24561403508772,0.2703569890155483,0.6341037439118103,0.02,2.0,340.0,89.78902953586498,1.02623678,183,183,0,103
228,1187,12504135.269953003,17348591975.63094,1142,1050,92,47220.527326,68161475.05823901,42,91.94395796847635,8.056042031523642,0.3776392873761472,0.39289341264111494,0.02,2.0,340.0,89.46925021061499,1.0263605238602271,158,158,0,110
229,1221,14285752.513863005,19510155416.09179,1169,1076,93,48535.18717600001,69660697.97285597,40,92.04448246364414,7.955517536355859,0.3397454010833597,0.3570484011388269,0.02,2.0,340.0,89.27108927108927,1.0243699199333334,172,172,0,128
230,1264,14340749.110128002,19636382936.67074,1210,1104,106,57838.611833999996,82010960.74631898,51,91.2396694214876,8.760330578512397,0.40331653102523135,0.417648000707729,0.02,2.0,340.0,89.55696202531645,1.0255632376333335,202,202,0,147
231,1296,14338990.654134996,19907907769.885452,1240,1127,113,149504.095293,183812046.58035004,128,90.88709677419354,9.112903225806452,1.0426403008351697,0.923311724692643,0.02,2.0,340.0,89.35185185185185,1.0305277787594118,216,216,0,173
232,1297,14359839.578060996,19977393570.330807,1242,1134,108,107047.443733,144051032.00511605,94,91.30434782608695,8.695652173913043,0.7454640642124399,0.7210702011650396,0.02,2.0,340.0,89.43716268311488,1.0334273472286668,210,210,0,171
233,1309,14532054.021741994,19917513128.733887,1249,1142,107,94368.133067,137273978.40527907,86,91.43314651721377,8.566853482786229,0.6493791787851326,0.6892124409208574,0.02,2.0,340.0,89.22841864018335,1.032235168,221,221,0,151
234,1343,11702878.395016015,20094293921.5112,1282,1168,114,90881.989499,134073812.03606501,90,91.10764430577223,8.892355694227769,0.7765780898629566,0.6672233050823312,0.02,2.0,340.0,89.6500372300819,1.031839200252,210,210,0,150
